season,roundNumber,homeTeam.teamName,awayTeam.teamName,homeTeamScore.totalScore,awayTeamScore.totalScore,date,venue.name,venueWidth,venueLength,homeTeamDirectionQtr1,displayOrder,chain_number,initialState,finalState,period,periodSeconds,playerName.givenName,playerName.surname,team.teamName,description,disposal,shotAtGoal,behindInfo,x,y
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,1,1,centreBounce,turnover,1,0,NA,NA,NA,Centre Bounce,NA,NA,NA,0,0
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,2,1,centreBounce,turnover,1,5,Patrick,Dangerfield,Geelong Cats,Hard Ball Get,NA,NA,NA,2,-7
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,3,1,centreBounce,turnover,1,6,Patrick,Dangerfield,Geelong Cats,Handball,effective,NA,NA,2,-7
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,4,1,centreBounce,turnover,1,7,Rhys,Stanley,Geelong Cats,Handball Received,NA,NA,NA,0,-6
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,5,1,centreBounce,turnover,1,7,Rhys,Stanley,Geelong Cats,Handball,effective,NA,NA,-2,-6
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,6,1,centreBounce,turnover,1,9,Joel,Selwood,Geelong Cats,Handball Received,NA,NA,NA,-5,-6
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,7,1,centreBounce,turnover,1,9,Joel,Selwood,Geelong Cats,Kick,clanger,NA,NA,-5,-3
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,8,1,centreBounce,turnover,1,12,Christian,Salem,Melbourne,Uncontested Mark,NA,NA,NA,31,24
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,9,2,possGain,behind,1,12,Christian,Salem,Melbourne,Uncontested Mark,NA,NA,NA,-31,-24
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,10,2,possGain,behind,1,14,Christian,Salem,Melbourne,Kick,effective,NA,NA,-37,-26
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,11,2,possGain,behind,1,16,Jack,Viney,Melbourne,Uncontested Mark,NA,NA,NA,-11,-35
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,12,2,possGain,behind,1,17,Jack,Viney,Melbourne,Handball,effective,NA,NA,-12,-39
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,13,2,possGain,behind,1,19,Christian,Salem,Melbourne,Handball Received,NA,NA,NA,-13,-44
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,14,2,possGain,behind,1,21,Christian,Salem,Melbourne,Kick,ineffective,NA,NA,-6,-51
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,15,2,possGain,behind,1,23,Zach,Guthrie,Geelong Cats,Spoil,NA,NA,NA,25,-54
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,16,2,possGain,behind,1,28,Tom,McDonald,Melbourne,Contested Knock On,NA,NA,NA,25,-60
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,17,2,possGain,behind,1,29,Kysaiah,Pickett,Melbourne,Gather,NA,NA,NA,26,-57
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,18,2,possGain,behind,1,33,Kysaiah,Pickett,Melbourne,Kick,effective,NA,NA,31,-54
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,19,2,possGain,behind,1,33,Kysaiah,Pickett,Melbourne,Kick Into F50,NA,NA,NA,31,-54
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,20,2,possGain,behind,1,33,Ben,Brown,Melbourne,Kick Inside 50 Result,NA,NA,NA,51,-34
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,21,2,possGain,behind,1,35,Ben,Brown,Melbourne,Mark On Lead,NA,NA,NA,51,-34
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,22,2,possGain,behind,1,68,Ben,Brown,Melbourne,Kick,ineffective,TRUE,NA,48,-37
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,23,2,possGain,behind,1,69,Ben,Brown,Melbourne,Behind,NA,NA,leftPost,48,-37
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,24,3,kickIn,turnover,1,78,Zach,Tuohy,Geelong Cats,Kickin play on,NA,NA,NA,-62,-19
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,25,3,kickIn,turnover,1,79,Zach,Tuohy,Geelong Cats,Bounce,NA,NA,NA,-53,16
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,26,3,kickIn,turnover,1,81,Zach,Tuohy,Geelong Cats,Handball,effective,NA,NA,-56,6
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,27,3,kickIn,turnover,1,83,Isaac,Smith,Geelong Cats,Handball Received,NA,NA,NA,-64,-33
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,28,3,kickIn,turnover,1,88,Isaac,Smith,Geelong Cats,Kick,effective,NA,NA,-56,-45
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,29,3,kickIn,turnover,1,90,Max,Gawn,Melbourne,Spoil,NA,NA,NA,-6,-57
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,30,3,kickIn,turnover,1,92,Jake,Bowey,Melbourne,Loose Ball Get Crumb,NA,NA,NA,-8,-62
2021,26,Melbourne,Geelong Cats,125,42,2021-09-10,Optus Stadium,130,165,right,31,4,possGain,outOfBounds,1,92,Jake,Bowey,Melbourne,Loose Ball Get Crumb,NA,NA,NA,8,62
