game_id,competition,season,round,home_team,away_team,provider,home_pct,away_pct,home_count,away_count
AFLW-2022B-01-AD-ME,AFLW,2022,1,AD,ME,AFLW Official,0.81,0.19,10976,2719
AFLW-2022B-01-BL-FR,AFLW,2022,1,BL,FR,AFLW Official,0.94,0.06,13102,984
AFLW-2022B-01-CA-CO,AFLW,2022,1,CA,CO,AFLW Official,0.14,0.86,1627,10382
AFLW-2022B-01-ES-HA,AFLW,2022,1,ES,HA,AFLW Official,0.36,0.64,4915,9050
AFLW-2022B-01-GE-RI,AFLW,2022,1,GE,RI,AFLW Official,0.78,0.22,10913,3179
AFLW-2022B-01-NM-GC,AFLW,2022,1,NM,GC,AFLW Official,0.97,0.03,13383,493
AFLW-2022B-01-SY-ST,AFLW,2022,1,SY,ST,AFLW Official,0.82,0.18,11400,2545
AFLW-2022B-01-WB-GW,AFLW,2022,1,WB,GW,AFLW Official,0.97,0.03,13584,477
AFLW-2022B-01-WC-PA,AFLW,2022,1,WC,PA,AFLW Official,0.12,0.88,1532,12374
AFLW-2022B-02-CO-SY,AFLW,2022,2,CO,SY,AFLW Official,0.97,0.03,11862,431
AFLW-2022B-02-ES-CA,AFLW,2022,2,ES,CA,AFLW Official,0.45,0.55,5429,6839
AFLW-2022B-02-FR-GE,AFLW,2022,2,FR,GE,AFLW Official,0.84,0.16,10197,1967
AFLW-2022B-02-GC-WC,AFLW,2022,2,GC,WC,AFLW Official,0.74,0.26,9025,3263
AFLW-2022B-02-GW-BL,AFLW,2022,2,GW,BL,AFLW Official,0.03,0.97,273,12009
AFLW-2022B-02-HA-ST,AFLW,2022,2,HA,ST,AFLW Official,0.1,0.9,1219,11049
AFLW-2022B-02-ME-NM,AFLW,2022,2,ME,NM,AFLW Official,0.9,0.1,10296,1255
AFLW-2022B-02-PA-WB,AFLW,2022,2,PA,WB,AFLW Official,0.13,0.87,1556,10610
AFLW-2022B-02-RI-AD,AFLW,2022,2,RI,AD,AFLW Official,0.13,0.87,1488,10643
AFLW-2022B-03-AD-NM,AFLW,2022,3,AD,NM,AFLW Official,0.86,0.14,9626,1656
AFLW-2022B-03-BL-GC,AFLW,2022,3,BL,GC,AFLW Official,0.99,0.01,11209,120
AFLW-2022B-03-CA-PA,AFLW,2022,3,CA,PA,AFLW Official,0.96,0.04,10830,569
AFLW-2022B-03-GE-CO,AFLW,2022,3,GE,CO,AFLW Official,0.2,0.8,2195,9119
AFLW-2022B-03-RI-HA,AFLW,2022,3,RI,HA,AFLW Official,0.97,0.03,10971,428
AFLW-2022B-03-ST-ME,AFLW,2022,3,ST,ME,AFLW Official,0.1,0.9,1090,10300
AFLW-2022B-03-SY-GW,AFLW,2022,3,SY,GW,AFLW Official,0.74,0.26,8306,2999
AFLW-2022B-03-WB-FR,AFLW,2022,3,WB,FR,AFLW Official,0.92,0.08,9676,941
AFLW-2022B-03-WC-ES,AFLW,2022,3,WC,ES,AFLW Official,0.48,0.52,5409,5991
